"reviewerID"^"productID"^"positiveVotes"^"negativeVotes"^"reviewText"^"ratingGiven"^"reviewTime"
jesirabbit, ^37201440^4^0^"Has original voices, great stand-alone movie that is fun for Halloween. However, only 20 minutes long, otherwise would have been 5 stars."^4^September 6, 2014
momma1965, ^37201440^1^1^"Pay attention to the play time. Otherwise it is a vute little flick and my kids really liked it."^4^September 14, 2014
sweetkiki, ^37201440^1^0^"this may sound scary but it really isn't. my 5 year old grandson just loves it except he said he should have got it for Halloween not Christmas."^5^December 13, 2014
ccsakura, ^37201440^1^0^"This is a cute movie that brings back the favorite characters from the Toy Story series (one of my favorite series from Disney Pixar). I enjoyed the included toon stories even more. Glad I added it to my Disney movie collection."^4^September 6, 2014
turtlegirl28, ^37201440^1^0^"This DVD comes w/ 2 hard to find Toy Story Toons as a bonus: Small Fry and Partysaurus Rex. Worth the money just for these."^5^July 26, 2015
Civil86, ^37201440^1^1^"Excellent 
Wonderful disney movie for all
Worth getting if a definet toy story fan"^5^July 17, 2016
Momma20102012, ^37201440^1^0^"My 2 boys ages 4 & 2 love this movie along with all the toy story movies and shorts. Happy to own it"^5^February 1, 2015
sylviaher2310, ^37201440^0^1^"i thought that it was a one long movie. but they are ok..."^2^September 19, 2014
BaldEagleLover, ^37201440^0^1^"All this is, Is a part of the Toy Story movie's very disappointing. I expected it to be different."^2^January 18, 2016
TheMeatLady, ^37201440^0^1^"Had a good story line to it buy it was a very short movie."^1^September 6, 2014
pat4rd, ^14547746^1^0^"Great book for a beginner!"^5^January 12, 2014
Piratemon, ^332943^3^0^"This fake book is a must for all musicians from beginners to advanced. Easy to read and easy to use."^5^March 15, 2010
jojodept20, ^332943^0^1^"This Book is more than you could hope for so filled with great stuff,I LOVE IT."^5^October 8, 2010
PaminNC, ^1747235^7^5^"Bought this for my 9 yr son who loves drawing and I think he will love this. It looks very easy to follow and graphics are great."^5^December 21, 2010
MORMOM, ^1747235^1^0^"I got 2 of these books for my 2 granddaughters (ges 11 and 6 years). The photos/drawings are simple and easy to follow. Great for beginnerdrawrs to develop their skills or existing artist to develop better pictures."^5^August 17, 2016
TRIP1LEXI, ^1747235^1^2^"I KNOW MY GRAND DAUGHTER WILL JUST LOVE THIS FOR A CHRISTMAS PRESENT!!"^5^December 8, 2015
ToniWoot, ^1747235^1^0^"This is a Christmas gift for my granddaughter. I think she'll love it."^5^December 13, 2016
dondada22, ^1747235^1^0^"Nice gift for an 11yr old"^3^December 26, 2016
Tanya, ^1747235^1^0^"My daughter loves to draw and this book has given her a better understanding to drawing techniques"^4^December 29, 2016
Sweetu12345, ^1747235^1^0^"My 5 year old son loves drawing & coloring. As he is still learning how to draw people I ordered this thinking it will help him. He is very happy with the book. They showed one side as a step by step how to draw other side as a practice sheet which is good. But the Sheet is very thin but you get what u paid for. So I don't have any complaints. Worth trying this book. Overal happy with purchase , more over my son is happy."^5^July 27, 2016
ZoeZoe, ^13980875^3^6^"The book is not easy to follow.."^2^May 13, 2015
88keys, ^13980875^1^0^"My First Piano Adventure for the Young Beginner: Lessons Book and its companion Writing Book were designed to appeal to children ages 5 and 6. I have used it with 7-yr.-old students, too. It is different than other method books and takes some time to get familiar with the activities and their purposes, but teachers can go online for instruction and video examples.

The book states, 'The Lesson and Writing Book introduces directional pre-reading, elementary music theory and technique with engaging songs, games, and creative discovery at the keyboard.'

My students like the colorful illustrations and activities that give them a chance to move. As a piano teacher,  I am very impressed with the results. The students who complete Book A, B, and C  have great technique, sight-reading and listening skills. They are well-prepared to move into the regular Piano Adventure series starting with Level 1 instead of Primer."^5^September 29, 2016
